[13-2-2019 11:34:00] sskip00 reached 34 CPS, VL=1
[13-2-2019 11:34:01] sskip00 reached 43 CPS, VL=2
[13-2-2019 11:34:02] sskip00 reached 76 CPS, VL=3
[13-2-2019 11:34:03] sskip00 reached 36 CPS, VL=4
[13-2-2019 11:34:16] sskip00 reached 124 CPS, VL=1
[13-2-2019 11:34:17] sskip00 reached 76 CPS, VL=2
[13-2-2019 11:36:27] Itzpandapvpmc reached 28 CPS, VL=1
[13-2-2019 11:38:08] Oskar2980 reached 22 CPS, VL=1
[13-2-2019 12:01:24] YouCanHitMee reached 20 CPS, VL=1
[13-2-2019 14:01:59] frederik200207 reached 24 CPS, VL=1
[13-2-2019 14:36:08] Yannick2491998 reached 20 CPS, VL=1
[13-2-2019 14:36:09] Yannick2491998 reached 20 CPS, VL=2
[13-2-2019 14:36:10] Yannick2491998 reached 20 CPS, VL=3
[13-2-2019 16:07:35] YouCanHitMee reached 18 CPS, VL=1
[13-2-2019 16:23:33] Jonasautzen reached 26 CPS, VL=1
[13-2-2019 16:36:28] oJqke_ reached 23 CPS, VL=1
[13-2-2019 16:38:32] YouCanHitMee reached 23 CPS, VL=1
[13-2-2019 17:04:03] oJqke_ reached 27 CPS, VL=1
[13-2-2019 17:21:59] frederikprogamer reached 19 CPS, VL=1
[13-2-2019 17:22:01] frederikprogamer reached 20 CPS, VL=1
[13-2-2019 17:22:02] frederikprogamer reached 20 CPS, VL=2
[13-2-2019 17:22:03] frederikprogamer reached 20 CPS, VL=3
[13-2-2019 17:22:04] frederikprogamer reached 21 CPS, VL=4
[13-2-2019 17:28:00] Dozhi reached 22 CPS, VL=1
[13-2-2019 17:31:11] BabundeDK reached 28 CPS, VL=1
[13-2-2019 17:31:45] Dozhi reached 32 CPS, VL=1
[13-2-2019 17:31:45] QuanDK reached 19 CPS, VL=1
[13-2-2019 17:31:52] Stina200ch reached 31 CPS, VL=1
[13-2-2019 17:35:32] QuanDK reached 57 CPS, VL=1
[13-2-2019 17:37:06] Dozhi reached 21 CPS, VL=1
[13-2-2019 17:37:13] Stina200ch reached 29 CPS, VL=1
[13-2-2019 17:38:42] QuanDK reached 41 CPS, VL=1
[13-2-2019 17:39:32] QuanDK reached 30 CPS, VL=1
[13-2-2019 17:40:36] Stina200ch reached 21 CPS, VL=1
[13-2-2019 17:41:07] Stina200ch reached 28 CPS, VL=1
[13-2-2019 17:41:26] Dozhi reached 20 CPS, VL=1
[13-2-2019 17:42:12] Stina200ch reached 21 CPS, VL=1
[13-2-2019 17:43:18] BabundeDK reached 26 CPS, VL=1
[13-2-2019 17:45:58] Dozhi reached 36 CPS, VL=1
[13-2-2019 17:45:58] BabundeDK reached 27 CPS, VL=1
[13-2-2019 17:47:39] Jonasautzen reached 32 CPS, VL=1
[13-2-2019 17:50:41] Dozhi reached 25 CPS, VL=1
[13-2-2019 18:17:11] GoldenBoy2016 reached 19 CPS, VL=1
[13-2-2019 18:18:14] GoldenBoy2016 reached 23 CPS, VL=1
[13-2-2019 18:21:25] SuperWilliam2005 reached 21 CPS, VL=1
[13-2-2019 18:22:58] Stina200ch reached 32 CPS, VL=1
[13-2-2019 18:26:36] Povelsen reached 18 CPS, VL=1
[13-2-2019 18:27:08] Povelsen reached 30 CPS, VL=1
[13-2-2019 18:27:41] SuperWilliam2005 reached 26 CPS, VL=1
[13-2-2019 18:28:14] SuperWilliam2005 reached 50 CPS, VL=1
[13-2-2019 18:28:14] Stina200ch reached 32 CPS, VL=1
[13-2-2019 18:32:00] Stina200ch reached 26 CPS, VL=1
