[14-2-2019 12:23:19] larsthing12 reached 24 CPS, VL=1
[14-2-2019 12:26:55] kasperwp1230 reached 26 CPS, VL=1
[14-2-2019 12:27:31] malrQkt reached 37 CPS, VL=1
[14-2-2019 12:27:31] wolle1234567 reached 29 CPS, VL=1
[14-2-2019 12:32:38] kasperwp1230 reached 20 CPS, VL=1
[14-2-2019 14:49:24] StormG reached 19 CPS, VL=1
[14-2-2019 15:03:01] SuperSofia_DK reached 21 CPS, VL=1
[14-2-2019 15:04:57] SuperSofia_DK reached 21 CPS, VL=1
[14-2-2019 15:09:18] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:11:04] name_loxy reached 20 CPS, VL=1
[14-2-2019 15:11:14] name_loxy reached 22 CPS, VL=1
[14-2-2019 15:11:16] name_loxy reached 19 CPS, VL=2
[14-2-2019 15:11:18] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:11:22] name_loxy reached 20 CPS, VL=1
[14-2-2019 15:11:41] name_loxy reached 26 CPS, VL=1
[14-2-2019 15:11:43] name_loxy reached 18 CPS, VL=1
[14-2-2019 15:11:47] Antondenmark123 reached 20 CPS, VL=1
[14-2-2019 15:11:51] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:11:52] name_loxy reached 27 CPS, VL=2
[14-2-2019 15:12:02] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:12:33] name_loxy reached 20 CPS, VL=1
[14-2-2019 15:13:31] name_loxy reached 18 CPS, VL=1
[14-2-2019 15:13:51] name_loxy reached 22 CPS, VL=1
[14-2-2019 15:13:53] name_loxy reached 23 CPS, VL=1
[14-2-2019 15:14:18] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:14:19] name_loxy reached 20 CPS, VL=2
[14-2-2019 15:14:20] name_loxy reached 21 CPS, VL=3
[14-2-2019 15:14:31] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:14:35] name_loxy reached 21 CPS, VL=1
[14-2-2019 15:14:38] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:16:04] ZepperPVP reached 23 CPS, VL=1
[14-2-2019 15:16:14] name_loxy reached 18 CPS, VL=1
[14-2-2019 15:16:45] name_loxy reached 25 CPS, VL=1
[14-2-2019 15:16:51] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:17:39] name_loxy reached 21 CPS, VL=1
[14-2-2019 15:18:04] name_loxy reached 21 CPS, VL=1
[14-2-2019 15:18:09] Antondenmark123 reached 18 CPS, VL=1
[14-2-2019 15:18:42] kejserkasper reached 22 CPS, VL=1
[14-2-2019 15:18:42] larsthing12 reached 30 CPS, VL=1
[14-2-2019 15:18:42] name_loxy reached 64 CPS, VL=1
[14-2-2019 15:18:50] ZepperPVP reached 18 CPS, VL=1
[14-2-2019 15:19:59] ZepperPVP reached 19 CPS, VL=1
[14-2-2019 15:20:16] name_loxy reached 18 CPS, VL=1
[14-2-2019 15:20:25] ZepperPVP reached 20 CPS, VL=1
[14-2-2019 15:20:26] ZepperPVP reached 20 CPS, VL=2
[14-2-2019 15:20:28] ZepperPVP reached 20 CPS, VL=1
[14-2-2019 15:20:29] ZepperPVP reached 20 CPS, VL=2
[14-2-2019 15:20:32] ZepperPVP reached 20 CPS, VL=1
[14-2-2019 15:20:33] ZepperPVP reached 19 CPS, VL=2
[14-2-2019 15:20:33] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:20:35] ZepperPVP reached 19 CPS, VL=1
[14-2-2019 15:20:35] name_loxy reached 19 CPS, VL=1
[14-2-2019 15:20:48] name_loxy reached 21 CPS, VL=1
[14-2-2019 15:21:02] name_loxy reached 26 CPS, VL=1
[14-2-2019 15:21:05] name_loxy reached 22 CPS, VL=1
[14-2-2019 15:21:09] name_loxy reached 22 CPS, VL=1
[14-2-2019 15:21:13] name_loxy reached 28 CPS, VL=1
[14-2-2019 15:21:38] name_loxy reached 23 CPS, VL=1
[14-2-2019 15:22:18] name_loxy reached 22 CPS, VL=1
[14-2-2019 15:28:35] larsthing12 reached 18 CPS, VL=1
[14-2-2019 15:30:46] SuperSofia_DK reached 28 CPS, VL=1
[14-2-2019 15:30:46] Antondenmark123 reached 21 CPS, VL=1
[14-2-2019 15:33:55] Antondenmark123 reached 27 CPS, VL=1
[14-2-2019 15:55:19] Ratetic reached 21 CPS, VL=1
[14-2-2019 16:06:07] Aryo reached 20 CPS, VL=1
[14-2-2019 16:07:12] swagkonrad reached 23 CPS, VL=1
[14-2-2019 16:09:26] Jonasautzen reached 22 CPS, VL=1
[14-2-2019 16:09:26] _ItzKing_ reached 19 CPS, VL=1
[14-2-2019 16:10:21] xWoodio reached 28 CPS, VL=1
[14-2-2019 16:15:40] Sager_Seb reached 26 CPS, VL=1
[14-2-2019 16:15:40] Povelsen reached 23 CPS, VL=1
[14-2-2019 16:17:17] Jonasautzen reached 20 CPS, VL=1
[14-2-2019 16:17:17] Aryo reached 18 CPS, VL=1
[14-2-2019 16:21:58] Antondenmark123 reached 27 CPS, VL=1
[14-2-2019 16:23:43] Povelsen reached 32 CPS, VL=1
[14-2-2019 16:31:14] Povelsen reached 19 CPS, VL=1
[14-2-2019 16:35:20] Lucas1607 reached 18 CPS, VL=1
[14-2-2019 16:42:07] technothomas reached 31 CPS, VL=1
[14-2-2019 16:42:07] QuanDK reached 19 CPS, VL=1
[14-2-2019 17:42:55] oBieling reached 26 CPS, VL=1
[14-2-2019 17:53:05] larsthing12 reached 20 CPS, VL=1
[14-2-2019 18:22:51] SuperWilliam2005 reached 18 CPS, VL=1
