[15-2-2019 14:50:15] Antondenmark123 reached 19 CPS, VL=1
[15-2-2019 14:52:28] Antondenmark123 reached 19 CPS, VL=1
[15-2-2019 15:18:57] QueenBeeii reached 21 CPS, VL=1
[15-2-2019 15:18:58] QueenBeeii reached 20 CPS, VL=2
[15-2-2019 15:19:00] QueenBeeii reached 19 CPS, VL=1
[15-2-2019 15:19:11] Antondenmark123 reached 23 CPS, VL=1
[15-2-2019 15:19:43] QueenBeeii reached 19 CPS, VL=1
[15-2-2019 15:20:16] Antondenmark123 reached 19 CPS, VL=1
[15-2-2019 15:20:53] Antondenmark123 reached 41 CPS, VL=1
[15-2-2019 15:20:53] QueenBeeii reached 29 CPS, VL=1
[15-2-2019 15:24:00] Antondenmark123 reached 19 CPS, VL=1
[15-2-2019 15:24:21] Antondenmark123 reached 24 CPS, VL=1
[15-2-2019 15:26:47] Antondenmark123 reached 20 CPS, VL=1
[15-2-2019 15:35:19] Antondenmark123 reached 23 CPS, VL=1
[15-2-2019 15:36:32] Antondenmark123 reached 19 CPS, VL=1
[15-2-2019 15:57:47] SuperWilliam2005 reached 54 CPS, VL=1
[15-2-2019 16:11:29] _TheGummy_ reached 18 CPS, VL=1
[15-2-2019 16:23:29] laug0522 reached 23 CPS, VL=1
