[15-2-2019 17:33:59] Kasper9521 reached 22 CPS, VL=1
[15-2-2019 17:33:59] xD_NoxY reached 41 CPS, VL=1
[15-2-2019 17:34:18] Kasper9521 reached 35 CPS, VL=1
[15-2-2019 17:35:20] Kasper9521 reached 30 CPS, VL=1
[15-2-2019 17:42:22] jonas123b reached 19 CPS, VL=1
[15-2-2019 17:42:23] jonas123b reached 24 CPS, VL=1
[15-2-2019 17:45:52] xD_NoxY reached 19 CPS, VL=1
[15-2-2019 17:45:52] Feczi reached 23 CPS, VL=1
[15-2-2019 17:51:43] Antondenmark123 reached 18 CPS, VL=1
[15-2-2019 17:52:39] Jonasautzen reached 19 CPS, VL=1
[15-2-2019 17:56:03] Feczi reached 35 CPS, VL=1
[15-2-2019 17:57:28] Kasper9521 reached 36 CPS, VL=1
[15-2-2019 17:58:50] _TheGummy_ reached 19 CPS, VL=1
[15-2-2019 18:00:40] _TheGummy_ reached 19 CPS, VL=1
[15-2-2019 18:01:09] Antondenmark123 reached 25 CPS, VL=1
[15-2-2019 18:01:13] Antondenmark123 reached 18 CPS, VL=1
[15-2-2019 18:02:21] Antondenmark123 reached 30 CPS, VL=1
[15-2-2019 18:02:49] ZepperPVP reached 19 CPS, VL=1
[15-2-2019 18:03:57] Jonasautzen reached 19 CPS, VL=1
[15-2-2019 18:05:34] jonas123b reached 18 CPS, VL=1
[15-2-2019 18:12:50] Antondenmark123 reached 28 CPS, VL=1
[15-2-2019 18:13:06] xSimse2424 reached 20 CPS, VL=1
[15-2-2019 18:13:11] PatrickKopp reached 35 CPS, VL=1
[15-2-2019 18:15:58] QueenBeeii reached 25 CPS, VL=1
[15-2-2019 18:16:41] QueenBeeii reached 19 CPS, VL=1
[15-2-2019 18:33:28] larsthing12 reached 24 CPS, VL=1
[15-2-2019 18:46:19] QueenBeeii reached 20 CPS, VL=1
[15-2-2019 18:46:20] QueenBeeii reached 20 CPS, VL=2
[15-2-2019 18:46:21] QueenBeeii reached 20 CPS, VL=3
[15-2-2019 18:46:22] QueenBeeii reached 20 CPS, VL=4
[15-2-2019 18:46:23] QueenBeeii reached 20 CPS, VL=1
[15-2-2019 18:46:24] QueenBeeii reached 20 CPS, VL=2
[15-2-2019 18:46:25] QueenBeeii reached 18 CPS, VL=3
[15-2-2019 18:46:26] QueenBeeii reached 20 CPS, VL=4
[15-2-2019 18:46:31] QueenBeeii reached 20 CPS, VL=1
[15-2-2019 18:46:32] QueenBeeii reached 20 CPS, VL=2
[15-2-2019 19:00:39] storeklodser reached 25 CPS, VL=1
[15-2-2019 19:23:07] HjaxGaming reached 18 CPS, VL=1
[15-2-2019 19:27:12] Bod_Frode reached 20 CPS, VL=1
[15-2-2019 19:32:44] Bod_Frode reached 26 CPS, VL=1
[15-2-2019 19:33:01] HjaxGaming reached 18 CPS, VL=1
[15-2-2019 19:33:02] HjaxGaming reached 18 CPS, VL=2
[15-2-2019 19:57:11] larsthing12 reached 22 CPS, VL=1
[15-2-2019 20:08:03] larsthing12 reached 19 CPS, VL=1
[15-2-2019 20:10:33] HjaxGaming reached 20 CPS, VL=1
[15-2-2019 20:11:36] HjaxGaming reached 21 CPS, VL=1
[15-2-2019 20:16:29] HjaxGaming reached 20 CPS, VL=1
