[16-2-2019 11:58:59] Jonasautzen reached 83 CPS, VL=1
[16-2-2019 12:10:27] Jonasautzen reached 18 CPS, VL=1
[16-2-2019 12:19:48] Jonasautzen reached 19 CPS, VL=1
[16-2-2019 12:22:50] Jonasautzen reached 19 CPS, VL=1
[16-2-2019 12:39:00] Cola_Light reached 22 CPS, VL=1
[16-2-2019 12:40:33] Cola_Light reached 22 CPS, VL=1
[16-2-2019 12:41:00] snowman_cool reached 73 CPS, VL=1
[16-2-2019 12:41:08] Olivergamer reached 33 CPS, VL=1
[16-2-2019 12:41:08] snowman_cool reached 22 CPS, VL=1
[16-2-2019 12:42:18] Cola_Light reached 33 CPS, VL=1
[16-2-2019 12:42:18] fletch4042 reached 18 CPS, VL=1
[16-2-2019 12:45:19] snowman_cool reached 21 CPS, VL=1
[16-2-2019 12:45:19] fletch4042 reached 27 CPS, VL=1
[16-2-2019 12:45:20] snowman_cool reached 31 CPS, VL=2
[16-2-2019 12:51:06] Jonasautzen reached 18 CPS, VL=1
[16-2-2019 12:51:06] snowman_cool reached 25 CPS, VL=1
[16-2-2019 12:56:21] Maawc reached 81 CPS, VL=1
[16-2-2019 13:01:39] Maawc reached 22 CPS, VL=1
[16-2-2019 13:02:48] Maawc reached 21 CPS, VL=1
[16-2-2019 13:03:51] Maawc reached 26 CPS, VL=1
[16-2-2019 13:03:51] snowman_cool reached 19 CPS, VL=1
[16-2-2019 13:03:59] Jonasautzen reached 28 CPS, VL=1
[16-2-2019 13:04:52] Maawc reached 20 CPS, VL=1
[16-2-2019 13:08:00] snowman_cool reached 20 CPS, VL=1
[16-2-2019 13:08:00] Cola_Light reached 20 CPS, VL=1
[16-2-2019 13:13:07] Danni1234 reached 28 CPS, VL=1
[16-2-2019 13:13:07] Maawc reached 21 CPS, VL=1
[16-2-2019 13:13:07] snowman_cool reached 21 CPS, VL=1
[16-2-2019 13:13:37] Maawc reached 19 CPS, VL=1
[16-2-2019 13:15:26] Cola_Light reached 21 CPS, VL=1
[16-2-2019 13:18:58] Maawc reached 21 CPS, VL=1
[16-2-2019 13:19:30] Maawc reached 18 CPS, VL=1
[16-2-2019 13:22:00] Maawc reached 23 CPS, VL=1
[16-2-2019 13:22:00] Cola_Light reached 19 CPS, VL=1
[16-2-2019 13:23:34] Cola_Light reached 19 CPS, VL=1
[16-2-2019 13:23:41] Maawc reached 25 CPS, VL=1
[16-2-2019 13:25:49] Maawc reached 18 CPS, VL=1
[16-2-2019 13:25:53] Maawc reached 59 CPS, VL=2
[16-2-2019 13:25:57] Maawc reached 23 CPS, VL=1
[16-2-2019 13:26:14] Maawc reached 20 CPS, VL=1
[16-2-2019 13:26:22] Maawc reached 29 CPS, VL=1
