[16-2-2019 13:29:43] Cola_Light reached 28 CPS, VL=1
[16-2-2019 13:30:03] Cola_Light reached 56 CPS, VL=1
[16-2-2019 13:30:10] Cola_Light reached 22 CPS, VL=1
[16-2-2019 13:30:15] Cola_Light reached 37 CPS, VL=2
[16-2-2019 13:30:26] Maawc reached 37 CPS, VL=1
[16-2-2019 13:30:26] Cola_Light reached 27 CPS, VL=3
[16-2-2019 13:30:37] Maawc reached 52 CPS, VL=1
[16-2-2019 13:30:37] Cola_Light reached 46 CPS, VL=1
[16-2-2019 13:30:54] Maawc reached 23 CPS, VL=1
[16-2-2019 13:30:54] Cola_Light reached 27 CPS, VL=1
[16-2-2019 13:31:01] Cola_Light reached 35 CPS, VL=2
[16-2-2019 13:31:39] Cola_Light reached 29 CPS, VL=1
[16-2-2019 13:32:25] ZepperPVP reached 37 CPS, VL=1
[16-2-2019 13:32:25] Cola_Light reached 63 CPS, VL=1
[16-2-2019 13:32:50] Maawc reached 26 CPS, VL=1
[16-2-2019 13:35:18] ZepperPVP reached 28 CPS, VL=1
[16-2-2019 13:35:18] Cola_Light reached 28 CPS, VL=1
[16-2-2019 13:36:03] Cola_Light reached 21 CPS, VL=1
[16-2-2019 13:38:01] Cola_Light reached 28 CPS, VL=1
[16-2-2019 13:40:33] Oliver_999 reached 19 CPS, VL=1
[16-2-2019 13:45:28] Cola_Light reached 18 CPS, VL=1
[16-2-2019 13:46:18] Cola_Light reached 21 CPS, VL=1
[16-2-2019 13:50:45] Maawc reached 21 CPS, VL=1
[16-2-2019 13:50:45] fletch4042 reached 18 CPS, VL=1
[16-2-2019 13:53:19] Maawc reached 19 CPS, VL=1
[16-2-2019 13:54:15] Maawc reached 46 CPS, VL=1
[16-2-2019 13:54:15] Cola_Light reached 76 CPS, VL=1
[16-2-2019 13:54:15] fletch4042 reached 29 CPS, VL=1
[16-2-2019 13:55:20] Maawc reached 18 CPS, VL=1
[16-2-2019 13:55:32] fletch4042 reached 23 CPS, VL=1
[16-2-2019 14:04:58] Cola_Light reached 21 CPS, VL=1
[16-2-2019 14:23:05] Maawc reached 57 CPS, VL=1
[16-2-2019 14:29:56] Jonasautzen reached 19 CPS, VL=1
[16-2-2019 14:29:57] Jonasautzen reached 21 CPS, VL=2
[16-2-2019 14:29:58] Jonasautzen reached 20 CPS, VL=3
