[17-11-2018 19:30:55] vict5226 reached 18 CPS, VL=1
[17-11-2018 22:54:32] Lugi2660 reached 20 CPS, VL=1
[17-11-2018 22:54:50] Lugi2660 reached 21 CPS, VL=1
[17-11-2018 22:59:56] Lugi2660 reached 18 CPS, VL=1
[17-11-2018 23:41:22] Eromanga_Senpai reached 31 CPS, VL=1
[17-11-2018 23:43:18] Eromanga_Senpai reached 22 CPS, VL=1
[17-11-2018 23:43:19] Eromanga_Senpai reached 22 CPS, VL=2
[17-11-2018 23:43:36] Eromanga_Senpai reached 20 CPS, VL=1
[17-11-2018 23:44:30] Eromanga_Senpai reached 18 CPS, VL=1
[17-11-2018 23:45:05] Eromanga_Senpai reached 19 CPS, VL=1
[17-11-2018 23:45:10] Eromanga_Senpai reached 20 CPS, VL=1
[17-11-2018 23:45:22] Eromanga_Senpai reached 18 CPS, VL=1
[17-11-2018 23:45:32] Eromanga_Senpai reached 18 CPS, VL=1
[17-11-2018 23:45:33] Eromanga_Senpai reached 18 CPS, VL=2
[17-11-2018 23:45:34] Eromanga_Senpai reached 20 CPS, VL=3
[17-11-2018 23:45:35] Eromanga_Senpai reached 19 CPS, VL=4
[17-11-2018 23:45:40] Eromanga_Senpai reached 20 CPS, VL=1
[17-11-2018 23:45:41] Eromanga_Senpai reached 19 CPS, VL=2
[17-11-2018 23:45:48] Eromanga_Senpai reached 21 CPS, VL=1
[17-11-2018 23:45:49] Eromanga_Senpai reached 20 CPS, VL=2
[17-11-2018 23:45:52] Eromanga_Senpai reached 19 CPS, VL=1
[17-11-2018 23:45:53] Eromanga_Senpai reached 21 CPS, VL=2
[17-11-2018 23:45:54] Eromanga_Senpai reached 19 CPS, VL=3
[17-11-2018 23:45:55] Eromanga_Senpai reached 20 CPS, VL=4
[17-11-2018 23:46:00] Eromanga_Senpai reached 18 CPS, VL=1
[17-11-2018 23:46:01] Eromanga_Senpai reached 18 CPS, VL=2
[17-11-2018 23:46:04] Eromanga_Senpai reached 20 CPS, VL=1
[17-11-2018 23:46:05] Eromanga_Senpai reached 18 CPS, VL=2
[17-11-2018 23:46:06] Eromanga_Senpai reached 20 CPS, VL=3
[17-11-2018 23:46:11] Eromanga_Senpai reached 19 CPS, VL=1
[17-11-2018 23:46:14] Eromanga_Senpai reached 21 CPS, VL=1
[17-11-2018 23:46:15] Eromanga_Senpai reached 20 CPS, VL=2
[17-11-2018 23:46:18] Eromanga_Senpai reached 20 CPS, VL=1
[17-11-2018 23:46:20] Eromanga_Senpai reached 20 CPS, VL=1
