[17-2-2019 10:24:00] JuleDk reached 18 CPS, VL=1
[17-2-2019 10:56:42] Itzpandapvpmc reached 20 CPS, VL=1
[17-2-2019 10:56:52] Itzpandapvpmc reached 31 CPS, VL=1
[17-2-2019 10:57:02] Itzpandapvpmc reached 20 CPS, VL=1
[17-2-2019 11:34:30] storeklodser reached 21 CPS, VL=1
[17-2-2019 11:34:30] Los_Pouls reached 20 CPS, VL=1
[17-2-2019 11:35:34] Los_Pouls reached 23 CPS, VL=1
[17-2-2019 11:36:51] Los_Pouls reached 19 CPS, VL=1
[17-2-2019 11:37:37] SWAGTER reached 34 CPS, VL=1
[17-2-2019 11:52:48] 6ty5 reached 19 CPS, VL=1
[17-2-2019 11:58:41] Jonasautzen reached 28 CPS, VL=1
[17-2-2019 11:59:15] Jonasautzen reached 25 CPS, VL=1
[17-2-2019 12:00:08] Jonasautzen reached 19 CPS, VL=1
[17-2-2019 12:19:27] storeklodser reached 30 CPS, VL=1
[17-2-2019 12:55:36] HjaxGaming reached 18 CPS, VL=1
[17-2-2019 13:49:08] g0mBy reached 38 CPS, VL=1
[17-2-2019 13:50:25] hendk reached 23 CPS, VL=1
[17-2-2019 13:51:17] hendk reached 41 CPS, VL=1
[17-2-2019 13:51:17] Flanx reached 84 CPS, VL=1
[17-2-2019 13:51:21] Flanx reached 53 CPS, VL=2
[17-2-2019 13:53:25] g0mBy reached 20 CPS, VL=1
[17-2-2019 13:55:35] swagkonrad reached 111 CPS, VL=1
[17-2-2019 13:55:35] Bod_Frode reached 18 CPS, VL=1
[17-2-2019 13:56:09] Fanta_Light reached 20 CPS, VL=1
[17-2-2019 13:56:17] Nimawolf reached 29 CPS, VL=1
[17-2-2019 14:01:44] Fanta_Light reached 44 CPS, VL=1
[17-2-2019 14:02:06] Fanta_Light reached 82 CPS, VL=1
[17-2-2019 14:05:03] RektByKiddo reached 51 CPS, VL=1
[17-2-2019 14:05:52] RektByKiddo reached 230 CPS, VL=1
[17-2-2019 14:06:37] PizzaBoydk reached 22 CPS, VL=1
[17-2-2019 14:08:28] storeklodser reached 39 CPS, VL=1
[17-2-2019 14:08:28] Fanta_Light reached 57 CPS, VL=1
[17-2-2019 14:09:09] PizzaBoydk reached 20 CPS, VL=1
[17-2-2019 14:09:09] Fanta_Light reached 145 CPS, VL=1
[17-2-2019 14:09:11] Fanta_Light reached 33 CPS, VL=2
[17-2-2019 14:09:49] storeklodser reached 95 CPS, VL=1
[17-2-2019 14:10:15] Fanta_Light reached 30 CPS, VL=1
[17-2-2019 14:11:52] PizzaBoydk reached 54 CPS, VL=1
