[18-11-2018 09:04:50] viktorhansen2006 reached 43 CPS, VL=1
[18-11-2018 10:59:53] TheWolfieMan reached 24 CPS, VL=1
[18-11-2018 11:04:54] V1pe_ reached 18 CPS, VL=1
[18-11-2018 11:04:57] V1pe_ reached 18 CPS, VL=1
[18-11-2018 11:09:55] OMG_Man reached 20 CPS, VL=1
[18-11-2018 11:22:09] Sofie_MC reached 22 CPS, VL=1
[18-11-2018 11:22:12] Sofie_MC reached 24 CPS, VL=1
[18-11-2018 11:22:13] Sofie_MC reached 22 CPS, VL=2
[18-11-2018 11:22:22] Sofie_MC reached 20 CPS, VL=1
[18-11-2018 11:22:27] Sofie_MC reached 18 CPS, VL=1
[18-11-2018 13:10:46] _tryhard_v2 reached 19 CPS, VL=1
[18-11-2018 13:10:46] coolplay0407 reached 31 CPS, VL=1
[18-11-2018 13:10:46] FrogyDK reached 27 CPS, VL=1
[18-11-2018 13:15:48] MarkEscobar reached 18 CPS, VL=1
[18-11-2018 13:15:48] Its_ludoDK reached 21 CPS, VL=1
[18-11-2018 13:16:18] PhilipLarsenR reached 20 CPS, VL=1
[18-11-2018 13:17:50] PhilipLarsenR reached 40 CPS, VL=1
[18-11-2018 13:20:49] DenGodeLasagne reached 18 CPS, VL=1
[18-11-2018 13:20:49] Itz_Hygum reached 18 CPS, VL=1
[18-11-2018 13:25:51] MTOlesen reached 26 CPS, VL=1
[18-11-2018 13:30:54] Zybril reached 40 CPS, VL=1
[18-11-2018 13:30:54] Flick reached 39 CPS, VL=1
[18-11-2018 13:40:56] lucz78 reached 19 CPS, VL=1
[18-11-2018 13:40:56] FrogyDK reached 27 CPS, VL=1
[18-11-2018 13:45:59] Zlayz_ reached 31 CPS, VL=1
[18-11-2018 13:45:59] Cbuchberg reached 32 CPS, VL=1
[18-11-2018 13:45:59] lucz78 reached 31 CPS, VL=1
[18-11-2018 13:50:05] zippo_pvp reached 31 CPS, VL=1
[18-11-2018 13:51:01] J0nesMc reached 27 CPS, VL=1
[18-11-2018 13:51:58] zippo_pvp reached 57 CPS, VL=1
[18-11-2018 13:51:59] zippo_pvp reached 96 CPS, VL=2
[18-11-2018 13:52:01] zippo_pvp reached 27 CPS, VL=1
[18-11-2018 13:56:03] DenGodeLasagne reached 31 CPS, VL=1
[18-11-2018 13:56:03] tbdlarsen reached 40 CPS, VL=1
[18-11-2018 14:01:06] tbdlarsen reached 38 CPS, VL=1
[18-11-2018 14:06:09] DenGodeLasagne reached 34 CPS, VL=1
[18-11-2018 14:06:09] Mad4Life reached 28 CPS, VL=1
[18-11-2018 14:11:13] Skildee reached 37 CPS, VL=1
[18-11-2018 14:14:47] ZebraDk reached 18 CPS, VL=1
[18-11-2018 14:16:18] DenGodeLasagne reached 56 CPS, VL=1
[18-11-2018 14:16:18] crincme reached 64 CPS, VL=1
[18-11-2018 14:16:18] Skildee reached 53 CPS, VL=1
[18-11-2018 14:16:18] fletch4042 reached 23 CPS, VL=1
[18-11-2018 14:19:56] Cr4zyD3rp reached 18 CPS, VL=1
[18-11-2018 14:21:23] zanderbd2 reached 28 CPS, VL=1
[18-11-2018 14:21:23] ZebraDk reached 22 CPS, VL=1
[18-11-2018 14:21:23] Wolf_Gaming_DK reached 57 CPS, VL=1
[18-11-2018 14:21:23] fletch4042 reached 19 CPS, VL=1
[18-11-2018 14:29:08] ZebraDk reached 19 CPS, VL=1
[18-11-2018 14:32:05] ZebraDk reached 18 CPS, VL=1
[18-11-2018 14:33:40] ZebraDk reached 20 CPS, VL=1
[18-11-2018 14:36:34] Cr4zyD3rp reached 20 CPS, VL=1
