[19-11-2018 11:35:11] PjaT1337 reached 22 CPS, VL=1
[19-11-2018 16:05:40] CookieMedBrus reached 19 CPS, VL=1
[19-11-2018 16:35:48] anderson207133 reached 19 CPS, VL=1
[19-11-2018 16:40:51] zippo_pvp reached 45 CPS, VL=1
[19-11-2018 16:40:51] ThraneGaming reached 35 CPS, VL=1
[19-11-2018 16:40:51] NeoPixelHD reached 18 CPS, VL=1
[19-11-2018 16:41:03] daniel1639 reached 18 CPS, VL=1
[19-11-2018 16:45:55] Laerke013 reached 20 CPS, VL=1
[19-11-2018 16:50:57] Itz_Lukas_ reached 28 CPS, VL=1
[19-11-2018 16:50:57] ThraneGaming reached 18 CPS, VL=1
[19-11-2018 16:50:57] AndreasThomsen reached 33 CPS, VL=1
[19-11-2018 16:50:57] Laerke013 reached 26 CPS, VL=1
[19-11-2018 16:50:57] teemo1212 reached 19 CPS, VL=1
[19-11-2018 16:50:57] Mqssing reached 28 CPS, VL=1
[19-11-2018 16:55:36] AndreasThomsen reached 18 CPS, VL=1
[19-11-2018 16:56:00] Itz_Lukas_ reached 20 CPS, VL=1
[19-11-2018 17:01:02] Kris_Jep reached 39 CPS, VL=1
[19-11-2018 17:01:02] mifaerne reached 28 CPS, VL=1
[19-11-2018 17:01:02] Mqssing reached 31 CPS, VL=1
[19-11-2018 17:01:05] _Maaads_ reached 22 CPS, VL=1
[19-11-2018 17:01:06] _Maaads_ reached 21 CPS, VL=2
[19-11-2018 17:01:07] _Maaads_ reached 19 CPS, VL=3
[19-11-2018 17:01:08] _Maaads_ reached 20 CPS, VL=4
[19-11-2018 17:01:09] _Maaads_ reached 21 CPS, VL=1
[19-11-2018 17:01:10] _Maaads_ reached 20 CPS, VL=2
[19-11-2018 17:01:11] _Maaads_ reached 20 CPS, VL=3
[19-11-2018 17:01:12] _Maaads_ reached 20 CPS, VL=4
[19-11-2018 17:01:13] _Maaads_ reached 20 CPS, VL=1
[19-11-2018 17:01:14] _Maaads_ reached 20 CPS, VL=2
[19-11-2018 17:01:15] _Maaads_ reached 23 CPS, VL=3
[19-11-2018 17:01:16] _Maaads_ reached 18 CPS, VL=4
[19-11-2018 17:01:17] _Maaads_ reached 20 CPS, VL=1
[19-11-2018 17:01:18] _Maaads_ reached 20 CPS, VL=2
[19-11-2018 17:05:04] _Maaads_ reached 23 CPS, VL=1
[19-11-2018 17:05:34] _Maaads_ reached 29 CPS, VL=1
[19-11-2018 17:06:08] spillermeste reached 44 CPS, VL=1
[19-11-2018 17:06:08] Mqssing reached 36 CPS, VL=1
[19-11-2018 17:18:59] xS1las reached 19 CPS, VL=1
[19-11-2018 17:19:37] spillermeste reached 67 CPS, VL=1
[19-11-2018 17:19:37] xS1las reached 33 CPS, VL=1
[19-11-2018 17:19:42] spillermeste reached 49 CPS, VL=2
[19-11-2018 17:19:42] mxnday reached 19 CPS, VL=1
[19-11-2018 17:24:35] xS1las reached 51 CPS, VL=1
[19-11-2018 17:28:13] Mavsi reached 18 CPS, VL=1
[19-11-2018 17:28:44] KTMOlle reached 20 CPS, VL=1
[19-11-2018 17:30:23] MagnusKLA reached 32 CPS, VL=1
[19-11-2018 17:31:34] _Maaads_ reached 44 CPS, VL=1
[19-11-2018 17:32:10] aabank reached 19 CPS, VL=1
[19-11-2018 17:32:10] OliverVincent reached 21 CPS, VL=1
[19-11-2018 17:32:23] aabank reached 28 CPS, VL=1
[19-11-2018 17:32:44] _Maaads_ reached 19 CPS, VL=1
[19-11-2018 17:33:13] AhmetStyle_TR reached 26 CPS, VL=1
[19-11-2018 17:33:13] Slangendks_Slave reached 28 CPS, VL=1
[19-11-2018 17:33:13] Mavsi reached 140 CPS, VL=1
[19-11-2018 17:33:13] MagnusKLA reached 63 CPS, VL=1
[19-11-2018 17:33:13] J0nesMc reached 41 CPS, VL=1
[19-11-2018 17:33:13] aabank reached 70 CPS, VL=1
[19-11-2018 17:33:13] sorendam1 reached 22 CPS, VL=1
[19-11-2018 17:33:26] Mavsi reached 54 CPS, VL=1
[19-11-2018 17:33:26] aabank reached 49 CPS, VL=1
[19-11-2018 17:33:54] batmanspanggaard reached 18 CPS, VL=1
[19-11-2018 17:33:54] Mavsi reached 140 CPS, VL=2
[19-11-2018 17:33:54] aabank reached 87 CPS, VL=2
[19-11-2018 17:33:54] OliverVincent reached 46 CPS, VL=1
[19-11-2018 17:33:54] KTMOlle reached 40 CPS, VL=1
[19-11-2018 17:35:04] Slangendks_Slave reached 24 CPS, VL=1
[19-11-2018 17:35:04] ECOdk reached 29 CPS, VL=1
[19-11-2018 17:35:04] Mavsi reached 85 CPS, VL=1
[19-11-2018 17:35:04] iiNilo reached 103 CPS, VL=1
[19-11-2018 17:35:04] KTMOlle reached 47 CPS, VL=1
[19-11-2018 17:35:04] _Maaads_ reached 41 CPS, VL=1
[19-11-2018 17:35:21] Slangendks_Slave reached 38 CPS, VL=1
[19-11-2018 17:35:21] ECOdk reached 18 CPS, VL=1
[19-11-2018 17:35:21] aabank reached 52 CPS, VL=1
[19-11-2018 17:35:21] KTMOlle reached 49 CPS, VL=1
[19-11-2018 17:35:41] ECOdk reached 85 CPS, VL=2
[19-11-2018 17:35:41] J0nesMc reached 23 CPS, VL=1
[19-11-2018 17:35:41] aabank reached 63 CPS, VL=2
[19-11-2018 17:35:41] OliverVincent reached 25 CPS, VL=1
[19-11-2018 17:35:41] KTMOlle reached 24 CPS, VL=2
[19-11-2018 17:35:41] _Maaads_ reached 25 CPS, VL=1
[19-11-2018 17:35:45] OliverVincent reached 18 CPS, VL=2
[19-11-2018 17:35:45] _Maaads_ reached 21 CPS, VL=2
[19-11-2018 17:36:08] ECOdk reached 30 CPS, VL=1
[19-11-2018 17:36:08] aabank reached 56 CPS, VL=1
[19-11-2018 17:36:08] Mqssing reached 50 CPS, VL=1
[19-11-2018 17:36:08] OliverVincent reached 31 CPS, VL=1
[19-11-2018 17:36:08] KTMOlle reached 22 CPS, VL=1
[19-11-2018 17:36:08] _Maaads_ reached 35 CPS, VL=1
[19-11-2018 17:36:34] aabank reached 18 CPS, VL=2
[19-11-2018 17:36:34] KTMOlle reached 61 CPS, VL=2
[19-11-2018 17:36:34] Mqssing reached 65 CPS, VL=2
[19-11-2018 17:36:34] OliverVincent reached 42 CPS, VL=2
[19-11-2018 17:36:34] _Maaads_ reached 70 CPS, VL=2
[19-11-2018 17:36:55] Magnus416 reached 35 CPS, VL=1
[19-11-2018 17:36:55] aabank reached 46 CPS, VL=1
[19-11-2018 17:36:55] Mqssing reached 53 CPS, VL=1
[19-11-2018 17:37:09] aabank reached 23 CPS, VL=1
[19-11-2018 17:37:09] Mqssing reached 62 CPS, VL=1
[19-11-2018 17:37:09] _Maaads_ reached 31 CPS, VL=1
[19-11-2018 17:37:39] GoldEnderBoy reached 89 CPS, VL=1
[19-11-2018 17:37:39] Magnus416 reached 103 CPS, VL=1
