[2-2-2019 13:29:16] ZepperPVP reached 20 CPS, VL=1
[2-2-2019 13:30:12] ZepperPVP reached 18 CPS, VL=1
[2-2-2019 13:56:16] ZepperPVP reached 18 CPS, VL=1
[2-2-2019 14:00:30] ZepperPVP reached 18 CPS, VL=1
[2-2-2019 14:11:56] ZepperPVP reached 22 CPS, VL=1
[2-2-2019 14:12:32] ZepperPVP reached 22 CPS, VL=1
[2-2-2019 14:14:52] ZepperPVP reached 18 CPS, VL=1
[2-2-2019 14:15:33] ZepperPVP reached 27 CPS, VL=1
[2-2-2019 14:17:36] PolleFraSnave_ reached 19 CPS, VL=1
[2-2-2019 14:38:33] Anon1337 reached 55 CPS, VL=1
[2-2-2019 14:39:05] UH4v3Sm4llPeen reached 18 CPS, VL=1
[2-2-2019 14:39:56] RazerShot reached 27 CPS, VL=1
[2-2-2019 14:39:57] RazerShot reached 65 CPS, VL=2
[2-2-2019 14:39:58] RazerShot reached 43 CPS, VL=3
[2-2-2019 14:40:03] RazerShot reached 65 CPS, VL=1
[2-2-2019 14:40:04] RazerShot reached 30 CPS, VL=2
[2-2-2019 14:41:08] Emilmeedom reached 18 CPS, VL=1
[2-2-2019 14:41:41] Emilmeedom reached 23 CPS, VL=1
[2-2-2019 14:41:56] UH4v3Sm4llPeen reached 21 CPS, VL=1
[2-2-2019 14:41:56] Emilmeedom reached 21 CPS, VL=1
[2-2-2019 14:49:41] Anon1337 reached 18 CPS, VL=1
[2-2-2019 14:49:50] Anon1337 reached 22 CPS, VL=1
[2-2-2019 14:50:42] ZepperPVP reached 20 CPS, VL=1
[2-2-2019 14:50:52] Asta_Ranola reached 43 CPS, VL=1
[2-2-2019 14:50:58] ZepperPVP reached 55 CPS, VL=1
[2-2-2019 14:51:00] ZepperPVP reached 24 CPS, VL=2
[2-2-2019 14:57:15] UH4v3Sm4llPeen reached 27 CPS, VL=1
[2-2-2019 14:57:15] Emilmeedom reached 21 CPS, VL=1
[2-2-2019 14:57:15] Anon1337 reached 23 CPS, VL=1
[2-2-2019 15:05:35] ZepperPVP reached 27 CPS, VL=1
