[20-11-2018 08:06:33] Cr4zyD3rp reached 19 CPS, VL=1
[20-11-2018 08:38:22] ICanTwerk_Love reached 18 CPS, VL=1
[20-11-2018 08:38:32] ICanTwerk_Love reached 18 CPS, VL=1
[20-11-2018 08:39:10] ICanTwerk_Love reached 20 CPS, VL=1
[20-11-2018 09:06:48] NikolajLorckmann reached 19 CPS, VL=1
[20-11-2018 14:36:02] _tryhard_v2 reached 20 CPS, VL=1
[20-11-2018 14:57:19] Girl_Killz reached 18 CPS, VL=1
[20-11-2018 15:17:57] LifueDK reached 18 CPS, VL=1
[20-11-2018 15:25:04] Kawaii_Bobby15 reached 25 CPS, VL=1
[20-11-2018 15:25:04] ArtiDK reached 19 CPS, VL=1
[20-11-2018 15:38:00] thedwarf0909 reached 475 CPS, VL=1
[20-11-2018 15:38:00] Kawaii_Bobby15 reached 290 CPS, VL=1
[20-11-2018 15:38:00] EZemir reached 45 CPS, VL=1
[20-11-2018 15:38:00] MagnuTP reached 86 CPS, VL=1
[20-11-2018 15:41:29] ArtiDK reached 23 CPS, VL=1
[20-11-2018 15:46:32] miner_mads reached 32 CPS, VL=1
[20-11-2018 15:46:32] Viktorboye reached 27 CPS, VL=1
[20-11-2018 15:46:32] AabenhusGaming reached 20 CPS, VL=1
[20-11-2018 15:46:32] HjortenPlaysMC reached 21 CPS, VL=1
[20-11-2018 16:11:46] Itzpandapvpmc reached 24 CPS, VL=1
[20-11-2018 16:11:46] FaZe_M1nd reached 18 CPS, VL=1
[20-11-2018 16:18:07] sorendam1 reached 18 CPS, VL=1
[20-11-2018 16:19:18] Bente_123 reached 18 CPS, VL=1
[20-11-2018 16:21:53] RubenMogensen reached 20 CPS, VL=1
[20-11-2018 16:22:22] Zax80 reached 21 CPS, VL=1
[20-11-2018 16:22:55] CoderPlaysMC reached 18 CPS, VL=1
[20-11-2018 16:27:02] thor_bjoernen reached 19 CPS, VL=1
[20-11-2018 16:29:07] Bente_123 reached 18 CPS, VL=1
[20-11-2018 16:31:42] Shark6378 reached 18 CPS, VL=1
[20-11-2018 16:32:16] Bente_123 reached 30 CPS, VL=1
[20-11-2018 16:32:16] WaitWhaaaat reached 36 CPS, VL=1
[20-11-2018 16:32:16] thegamer_boy reached 25 CPS, VL=1
[20-11-2018 16:32:16] CoderPlaysMC reached 52 CPS, VL=1
[20-11-2018 16:33:19] thor_bjoernen reached 19 CPS, VL=1
[20-11-2018 16:33:19] MagnuTP reached 24 CPS, VL=1
[20-11-2018 16:35:54] Shark6378 reached 19 CPS, VL=1
[20-11-2018 16:36:25] sorendam1 reached 18 CPS, VL=1
[20-11-2018 16:36:57] RubenMogensen reached 18 CPS, VL=1
[20-11-2018 16:36:57] WaitWhaaaat reached 25 CPS, VL=1
[20-11-2018 16:37:30] thor_bjoernen reached 27 CPS, VL=1
[20-11-2018 16:37:30] WaitWhaaaat reached 20 CPS, VL=1
[20-11-2018 16:37:30] thegamer_boy reached 22 CPS, VL=1
[20-11-2018 16:38:03] TheWolfieMan reached 28 CPS, VL=1
[20-11-2018 16:38:03] Bente_123 reached 33 CPS, VL=1
[20-11-2018 16:38:03] MagnuTP reached 23 CPS, VL=1
[20-11-2018 16:38:38] Slangendks_Slave reached 26 CPS, VL=1
[20-11-2018 16:38:38] jshedegaard reached 34 CPS, VL=1
[20-11-2018 16:38:38] Bente_123 reached 19 CPS, VL=1
[20-11-2018 16:38:38] RickyB_ reached 27 CPS, VL=1
[20-11-2018 16:38:38] CoderPlaysMC reached 35 CPS, VL=1
[20-11-2018 16:38:38] MagnuTP reached 62 CPS, VL=1
[20-11-2018 16:39:10] jshedegaard reached 18 CPS, VL=1
[20-11-2018 16:39:10] Bente_123 reached 21 CPS, VL=1
[20-11-2018 16:39:10] CoderPlaysMC reached 21 CPS, VL=1
[20-11-2018 16:42:46] thor_bjoernen reached 29 CPS, VL=1
[20-11-2018 16:42:46] GamerMathias10 reached 32 CPS, VL=1
[20-11-2018 16:43:47] jshedegaard reached 22 CPS, VL=1
[20-11-2018 16:43:47] Bente_123 reached 21 CPS, VL=1
[20-11-2018 16:43:47] Gamergud reached 18 CPS, VL=1
[20-11-2018 16:44:19] Shark6378 reached 19 CPS, VL=1
[20-11-2018 16:44:19] MagnuTP reached 20 CPS, VL=1
[20-11-2018 16:44:51] MagnuTP reached 23 CPS, VL=1
[20-11-2018 16:45:54] Philipsd2007 reached 21 CPS, VL=1
[20-11-2018 16:45:54] Shark6378 reached 27 CPS, VL=1
[20-11-2018 16:45:54] MagnuTP reached 25 CPS, VL=1
[20-11-2018 16:45:54] daniel1639 reached 18 CPS, VL=1
[20-11-2018 16:47:28] Philipsd2007 reached 20 CPS, VL=1
[20-11-2018 16:47:28] MagnuTP reached 27 CPS, VL=1
[20-11-2018 16:48:01] TheWolfieMan reached 40 CPS, VL=1
[20-11-2018 16:48:01] Zaungoth reached 36 CPS, VL=1
[20-11-2018 16:48:01] lykkepedersen reached 22 CPS, VL=1
[20-11-2018 16:48:01] daniel1639 reached 29 CPS, VL=1
[20-11-2018 16:48:33] Mqssing reached 27 CPS, VL=1
[20-11-2018 16:53:13] lykkepedersen reached 37 CPS, VL=1
[20-11-2018 16:53:13] thegamer_boy reached 22 CPS, VL=1
[20-11-2018 16:53:13] MagnuTP reached 25 CPS, VL=1
[20-11-2018 16:58:21] _tryhard_v2 reached 22 CPS, VL=1
[20-11-2018 16:58:21] jshedegaard reached 22 CPS, VL=1
[20-11-2018 16:58:21] HaniSkilz reached 28 CPS, VL=1
[20-11-2018 16:58:21] Bente_123 reached 24 CPS, VL=1
[20-11-2018 16:58:21] MagnusKLA reached 25 CPS, VL=1
[20-11-2018 16:58:54] Slangendks_Slave reached 22 CPS, VL=1
[20-11-2018 16:58:54] Philipsd2007 reached 23 CPS, VL=1
[20-11-2018 16:58:54] AndreasThomsen reached 25 CPS, VL=1
[20-11-2018 16:58:54] MagnusKLA reached 21 CPS, VL=1
[20-11-2018 16:58:54] MagnuTP reached 22 CPS, VL=1
[20-11-2018 17:04:03] Zlayz_ reached 18 CPS, VL=1
[20-11-2018 17:08:23] Bente_123 reached 29 CPS, VL=1
[20-11-2018 17:08:23] MagnuTP reached 26 CPS, VL=1
[20-11-2018 17:08:43] Olimic reached 27 CPS, VL=1
[20-11-2018 17:08:43] MagnuTP reached 22 CPS, VL=1
[20-11-2018 17:09:46] lykkepedersen reached 18 CPS, VL=1
[20-11-2018 17:11:22] thor_bjoernen reached 25 CPS, VL=1
[20-11-2018 17:11:22] Secret_Schultz reached 24 CPS, VL=1
[20-11-2018 17:11:22] daniel1639 reached 23 CPS, VL=1
[20-11-2018 17:11:29] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:11:31] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:11:32] sorendam1 reached 21 CPS, VL=2
[20-11-2018 17:11:47] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:11:48] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:11:49] sorendam1 reached 21 CPS, VL=3
[20-11-2018 17:11:50] sorendam1 reached 22 CPS, VL=4
[20-11-2018 17:11:54] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:12:28] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:12:29] sorendam1 reached 28 CPS, VL=1
[20-11-2018 17:12:30] sorendam1 reached 26 CPS, VL=2
[20-11-2018 17:12:31] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:12:32] sorendam1 reached 28 CPS, VL=4
[20-11-2018 17:12:33] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:12:34] sorendam1 reached 27 CPS, VL=2
[20-11-2018 17:12:35] sorendam1 reached 25 CPS, VL=3
[20-11-2018 17:12:38] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:12:39] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:12:40] sorendam1 reached 23 CPS, VL=3
[20-11-2018 17:12:41] sorendam1 reached 22 CPS, VL=4
[20-11-2018 17:12:42] sorendam1 reached 20 CPS, VL=1
[20-11-2018 17:12:43] sorendam1 reached 25 CPS, VL=2
[20-11-2018 17:12:44] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:12:45] sorendam1 reached 24 CPS, VL=4
[20-11-2018 17:12:46] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:12:47] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:12:48] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:12:49] sorendam1 reached 24 CPS, VL=4
[20-11-2018 17:12:53] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:12:54] sorendam1 reached 26 CPS, VL=2
[20-11-2018 17:12:55] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:13:00] sorendam1 reached 114 CPS, VL=4
[20-11-2018 17:13:01] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:13:02] sorendam1 reached 21 CPS, VL=2
[20-11-2018 17:13:05] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:13:06] sorendam1 reached 24 CPS, VL=2
[20-11-2018 17:13:07] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:13:08] sorendam1 reached 21 CPS, VL=4
[20-11-2018 17:13:13] sorendam1 reached 26 CPS, VL=1
[20-11-2018 17:13:14] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:13:16] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:17] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:13:19] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:13:20] sorendam1 reached 18 CPS, VL=2
[20-11-2018 17:13:21] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:13:22] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:24] sorendam1 reached 25 CPS, VL=1
[20-11-2018 17:13:25] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:13:26] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:13:28] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:33] thor_bjoernen reached 24 CPS, VL=1
[20-11-2018 17:13:33] Secret_Schultz reached 20 CPS, VL=1
[20-11-2018 17:13:33] lykkepedersen reached 28 CPS, VL=1
[20-11-2018 17:13:33] sorendam1 reached 25 CPS, VL=2
[20-11-2018 17:13:35] sorendam1 reached 24 CPS, VL=1
[20-11-2018 17:13:36] sorendam1 reached 30 CPS, VL=2
[20-11-2018 17:13:37] sorendam1 reached 19 CPS, VL=3
[20-11-2018 17:13:38] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:39] sorendam1 reached 26 CPS, VL=1
[20-11-2018 17:13:40] sorendam1 reached 27 CPS, VL=2
[20-11-2018 17:13:41] sorendam1 reached 20 CPS, VL=3
[20-11-2018 17:13:42] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:43] sorendam1 reached 21 CPS, VL=1
[20-11-2018 17:13:44] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:13:45] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:13:46] sorendam1 reached 23 CPS, VL=4
[20-11-2018 17:13:47] sorendam1 reached 23 CPS, VL=1
[20-11-2018 17:13:48] sorendam1 reached 23 CPS, VL=2
[20-11-2018 17:13:51] sorendam1 reached 18 CPS, VL=1
[20-11-2018 17:13:56] Bente_123 reached 23 CPS, VL=1
[20-11-2018 17:13:56] Secret_Schultz reached 24 CPS, VL=1
[20-11-2018 17:13:56] MagnuTP reached 28 CPS, VL=1
[20-11-2018 17:13:56] sorendam1 reached 38 CPS, VL=2
[20-11-2018 17:13:58] sorendam1 reached 47 CPS, VL=3
[20-11-2018 17:13:59] sorendam1 reached 40 CPS, VL=4
[20-11-2018 17:14:01] sorendam1 reached 40 CPS, VL=1
[20-11-2018 17:14:02] sorendam1 reached 37 CPS, VL=2
[20-11-2018 17:14:03] sorendam1 reached 26 CPS, VL=3
[20-11-2018 17:14:05] sorendam1 reached 34 CPS, VL=4
