[21-11-2018 09:46:11] _GoldenBoy_1 reached 18 CPS, VL=1
[21-11-2018 10:21:04] Philipsd2007 reached 25 CPS, VL=1
[21-11-2018 10:25:12] 2bi2bi reached 20 CPS, VL=1
[21-11-2018 10:40:14] 2bi2bi reached 21 CPS, VL=1
[21-11-2018 13:13:15] _tryhard_v2 reached 18 CPS, VL=1
[21-11-2018 13:13:32] _tryhard_v2 reached 18 CPS, VL=1
[21-11-2018 14:11:18] Philipsd2007 reached 38 CPS, VL=1
[21-11-2018 14:15:50] Philipsd2007 reached 23 CPS, VL=1
[21-11-2018 14:25:54] Philipsd2007 reached 37 CPS, VL=1
[21-11-2018 14:30:55] Mavsi reached 23 CPS, VL=1
[21-11-2018 14:31:47] _tryhard_v2 reached 29 CPS, VL=1
[21-11-2018 15:26:57] Itzpandapvpmc reached 23 CPS, VL=1
[21-11-2018 15:27:02] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 15:28:36] MajaBentley reached 18 CPS, VL=1
[21-11-2018 15:31:09] Magnus2m reached 29 CPS, VL=1
[21-11-2018 15:31:09] Prololgamerxd reached 27 CPS, VL=1
[21-11-2018 15:31:09] MagnuTP reached 21 CPS, VL=1
[21-11-2018 15:36:11] Itzpandapvpmc reached 19 CPS, VL=1
[21-11-2018 15:36:11] Prololgamerxd reached 27 CPS, VL=1
[21-11-2018 15:41:14] Itzpandapvpmc reached 23 CPS, VL=1
[21-11-2018 15:45:47] Itzpandapvpmc reached 21 CPS, VL=1
[21-11-2018 15:50:22] sorendam1 reached 20 CPS, VL=1
[21-11-2018 15:51:24] Mavsi reached 28 CPS, VL=1
[21-11-2018 15:56:01] Itzpandapvpmc reached 18 CPS, VL=1
[21-11-2018 15:56:32] Itzpandapvpmc reached 20 CPS, VL=1
[21-11-2018 16:00:07] Mqssing reached 20 CPS, VL=1
[21-11-2018 16:00:07] sorendam1 reached 20 CPS, VL=1
[21-11-2018 16:01:40] Tobi2006Rex reached 20 CPS, VL=1
[21-11-2018 16:01:40] sorendam1 reached 19 CPS, VL=1
[21-11-2018 16:07:44] Itzpandapvpmc reached 18 CPS, VL=1
[21-11-2018 16:08:44] FartFrede reached 20 CPS, VL=1
[21-11-2018 16:17:22] FartFrede reached 20 CPS, VL=1
[21-11-2018 16:19:24] daniel1639 reached 18 CPS, VL=1
[21-11-2018 16:21:58] chokokagen reached 27 CPS, VL=1
[21-11-2018 16:21:58] NewMatz_ reached 23 CPS, VL=1
[21-11-2018 16:21:58] MajaBentley reached 19 CPS, VL=1
[21-11-2018 16:22:29] sorendam1 reached 41 CPS, VL=1
[21-11-2018 16:22:42] sorendam1 reached 19 CPS, VL=1
[21-11-2018 16:23:24] Oliverdk10 reached 18 CPS, VL=1
[21-11-2018 16:23:31] sorendam1 reached 21 CPS, VL=1
[21-11-2018 16:23:36] Oliverdk10 reached 18 CPS, VL=1
[21-11-2018 16:23:49] Oliverdk10 reached 24 CPS, VL=1
[21-11-2018 16:24:03] sorendam1 reached 21 CPS, VL=1
[21-11-2018 16:24:42] sorendam1 reached 19 CPS, VL=1
[21-11-2018 16:30:44] Fortid reached 20 CPS, VL=1
[21-11-2018 16:30:44] Tocxi_DK reached 26 CPS, VL=1
[21-11-2018 16:31:16] Tocxi_DK reached 18 CPS, VL=1
[21-11-2018 16:31:48] Fortid reached 31 CPS, VL=1
[21-11-2018 16:34:25] sorendam1 reached 25 CPS, VL=1
[21-11-2018 16:34:57] ItzSky1yT reached 19 CPS, VL=1
[21-11-2018 16:34:57] Fortid reached 27 CPS, VL=1
