[28-1-2019 21:23:11] Mikkivl reached 18 CPS, VL=1
[28-1-2019 21:23:12] Mikkivl reached 19 CPS, VL=2
[28-1-2019 21:23:18] Mikkivl reached 22 CPS, VL=1
[28-1-2019 21:23:53] Mikkivl reached 21 CPS, VL=1
[28-1-2019 21:24:02] xXCqmboXx reached 18 CPS, VL=1
[28-1-2019 21:24:02] Mikkivl reached 33 CPS, VL=1
[28-1-2019 21:24:10] Mikkivl reached 19 CPS, VL=1
[28-1-2019 21:24:22] Mikkivl reached 31 CPS, VL=1
[28-1-2019 21:24:41] Mikkivl reached 24 CPS, VL=1
[28-1-2019 21:25:01] Mikkivl reached 27 CPS, VL=1
[28-1-2019 21:25:11] Mikkivl reached 20 CPS, VL=1
[28-1-2019 21:25:37] Mikkivl reached 18 CPS, VL=1
[28-1-2019 21:25:51] Mikkivl reached 22 CPS, VL=1
[28-1-2019 21:25:52] Mikkivl reached 24 CPS, VL=2
[28-1-2019 21:25:53] Mikkivl reached 28 CPS, VL=3
[28-1-2019 21:25:54] Mikkivl reached 22 CPS, VL=4
[28-1-2019 21:25:56] Mikkivl reached 46 CPS, VL=1
[28-1-2019 21:26:01] Mikkivl reached 28 CPS, VL=1
[28-1-2019 21:26:04] Mikkivl reached 62 CPS, VL=2
[28-1-2019 21:26:08] Mikkivl reached 30 CPS, VL=1
[28-1-2019 21:26:10] Mikkivl reached 21 CPS, VL=1
[28-1-2019 21:26:11] Mikkivl reached 32 CPS, VL=2
[28-1-2019 21:26:12] Mikkivl reached 20 CPS, VL=3
[28-1-2019 21:26:14] Mikkivl reached 19 CPS, VL=1
[28-1-2019 21:26:15] Mikkivl reached 28 CPS, VL=2
[28-1-2019 21:26:16] Mikkivl reached 22 CPS, VL=3
[28-1-2019 21:27:34] Mikkivl reached 32 CPS, VL=1
[28-1-2019 21:27:34] Mikkivl reached 22 CPS, VL=2
[28-1-2019 21:27:40] Mikkivl reached 27 CPS, VL=1
[28-1-2019 21:28:01] Mikkivl reached 25 CPS, VL=1
[28-1-2019 21:28:02] Mikkivl reached 23 CPS, VL=2
[28-1-2019 21:28:05] Mikkivl reached 23 CPS, VL=1
[28-1-2019 21:28:06] Mikkivl reached 26 CPS, VL=2
[28-1-2019 21:28:08] Mikkivl reached 18 CPS, VL=1
[28-1-2019 21:28:09] Mikkivl reached 20 CPS, VL=2
[28-1-2019 21:28:13] Mikkivl reached 30 CPS, VL=1
[28-1-2019 21:28:14] Mikkivl reached 24 CPS, VL=2
[28-1-2019 21:28:15] Mikkivl reached 32 CPS, VL=3
[28-1-2019 21:28:16] Mikkivl reached 28 CPS, VL=4
[28-1-2019 21:28:17] Mikkivl reached 18 CPS, VL=1
[28-1-2019 21:28:19] Mikkivl reached 24 CPS, VL=1
[28-1-2019 21:28:20] Mikkivl reached 28 CPS, VL=2
[28-1-2019 21:34:01] Mikkivl reached 40 CPS, VL=1
[28-1-2019 21:34:04] Mikkivl reached 23 CPS, VL=1
[28-1-2019 21:34:06] Mikkivl reached 44 CPS, VL=2
[28-1-2019 21:34:09] Mikkivl reached 54 CPS, VL=1
[28-1-2019 21:34:11] Mikkivl reached 28 CPS, VL=1
[28-1-2019 21:34:12] Mikkivl reached 22 CPS, VL=2
[28-1-2019 21:34:13] Mikkivl reached 20 CPS, VL=3
[28-1-2019 21:34:14] Mikkivl reached 18 CPS, VL=4
[28-1-2019 21:34:15] Mikkivl reached 28 CPS, VL=1
[28-1-2019 21:34:40] Mikkivl reached 50 CPS, VL=1
[28-1-2019 21:34:42] Mikkivl reached 52 CPS, VL=2
[28-1-2019 21:34:44] Mikkivl reached 28 CPS, VL=1
[28-1-2019 21:34:45] Mikkivl reached 22 CPS, VL=2
[28-1-2019 21:34:46] Mikkivl reached 32 CPS, VL=3
[28-1-2019 21:34:47] Mikkivl reached 24 CPS, VL=4
[28-1-2019 21:34:47] Mikkivl reached 20 CPS, VL=1
[28-1-2019 21:34:48] Mikkivl reached 20 CPS, VL=2
[28-1-2019 21:34:50] Mikkivl reached 30 CPS, VL=3
[28-1-2019 21:42:02] Mikkivl reached 20 CPS, VL=1
[28-1-2019 21:42:07] Mikkivl reached 20 CPS, VL=1
[28-1-2019 21:42:13] Mikkivl reached 24 CPS, VL=1
[28-1-2019 21:42:14] Mikkivl reached 22 CPS, VL=2
[28-1-2019 21:58:46] Sebber28 reached 20 CPS, VL=1
[28-1-2019 21:58:47] Sebber28 reached 20 CPS, VL=2
[28-1-2019 21:58:48] Sebber28 reached 20 CPS, VL=3
[28-1-2019 21:58:49] Sebber28 reached 20 CPS, VL=4
[28-1-2019 21:58:50] Sebber28 reached 20 CPS, VL=1
[28-1-2019 22:16:36] Amalie_DK reached 110 CPS, VL=1
[28-1-2019 22:27:08] PolleFraSnave_ reached 21 CPS, VL=1
[28-1-2019 22:27:09] PolleFraSnave_ reached 28 CPS, VL=2
[28-1-2019 22:27:10] PolleFraSnave_ reached 24 CPS, VL=3
[28-1-2019 22:27:11] PolleFraSnave_ reached 26 CPS, VL=4
[28-1-2019 22:27:12] PolleFraSnave_ reached 22 CPS, VL=1
[28-1-2019 22:27:13] PolleFraSnave_ reached 28 CPS, VL=2
[28-1-2019 22:27:14] PolleFraSnave_ reached 26 CPS, VL=3
[28-1-2019 22:27:15] PolleFraSnave_ reached 26 CPS, VL=4
[28-1-2019 22:27:16] PolleFraSnave_ reached 24 CPS, VL=1
[28-1-2019 22:27:17] PolleFraSnave_ reached 18 CPS, VL=2
[28-1-2019 22:27:30] PolleFraSnave_ reached 26 CPS, VL=1
[28-1-2019 22:27:31] PolleFraSnave_ reached 30 CPS, VL=2
[28-1-2019 22:27:32] PolleFraSnave_ reached 24 CPS, VL=3
[28-1-2019 22:27:33] PolleFraSnave_ reached 28 CPS, VL=4
[28-1-2019 22:27:34] PolleFraSnave_ reached 24 CPS, VL=1
[28-1-2019 22:27:34] MizziHunter reached 19 CPS, VL=1
[28-1-2019 22:27:35] PolleFraSnave_ reached 26 CPS, VL=2
[28-1-2019 22:27:36] PolleFraSnave_ reached 20 CPS, VL=3
[28-1-2019 22:27:37] PolleFraSnave_ reached 30 CPS, VL=4
[28-1-2019 22:27:38] PolleFraSnave_ reached 30 CPS, VL=1
[28-1-2019 22:27:39] PolleFraSnave_ reached 28 CPS, VL=2
[28-1-2019 22:27:40] PolleFraSnave_ reached 20 CPS, VL=3
[28-1-2019 22:27:41] PolleFraSnave_ reached 22 CPS, VL=4
[28-1-2019 22:27:42] MizziHunter reached 19 CPS, VL=1
[28-1-2019 22:27:48] PolleFraSnave_ reached 24 CPS, VL=1
[28-1-2019 22:27:49] PolleFraSnave_ reached 30 CPS, VL=2
[28-1-2019 22:27:50] PolleFraSnave_ reached 26 CPS, VL=3
[28-1-2019 22:27:51] PolleFraSnave_ reached 26 CPS, VL=4
[28-1-2019 22:27:52] PolleFraSnave_ reached 26 CPS, VL=1
[28-1-2019 22:27:53] PolleFraSnave_ reached 28 CPS, VL=2
[28-1-2019 22:27:54] PolleFraSnave_ reached 26 CPS, VL=3
[28-1-2019 22:27:55] PolleFraSnave_ reached 28 CPS, VL=4
[28-1-2019 22:27:56] PolleFraSnave_ reached 26 CPS, VL=1
[28-1-2019 22:27:57] PolleFraSnave_ reached 28 CPS, VL=2
[28-1-2019 22:27:58] PolleFraSnave_ reached 26 CPS, VL=3
[28-1-2019 22:27:59] PolleFraSnave_ reached 26 CPS, VL=4
[28-1-2019 22:28:00] PolleFraSnave_ reached 24 CPS, VL=1
[28-1-2019 22:28:01] PolleFraSnave_ reached 24 CPS, VL=2
[28-1-2019 22:28:02] PolleFraSnave_ reached 26 CPS, VL=3
[28-1-2019 22:28:03] PolleFraSnave_ reached 28 CPS, VL=4
[28-1-2019 22:28:04] PolleFraSnave_ reached 28 CPS, VL=1
[28-1-2019 22:28:04] MizziHunter reached 20 CPS, VL=1
[28-1-2019 22:28:05] PolleFraSnave_ reached 26 CPS, VL=2
[28-1-2019 22:28:06] PolleFraSnave_ reached 24 CPS, VL=3
[28-1-2019 22:28:35] Amalie_DK reached 32 CPS, VL=1
[28-1-2019 22:28:45] Amalie_DK reached 18 CPS, VL=1
[28-1-2019 22:28:46] Amalie_DK reached 24 CPS, VL=2
[28-1-2019 22:29:07] Amalie_DK reached 26 CPS, VL=1
[28-1-2019 22:29:08] Amalie_DK reached 33 CPS, VL=2
[28-1-2019 22:29:10] Amalie_DK reached 23 CPS, VL=1
[28-1-2019 22:29:15] Amalie_DK reached 24 CPS, VL=1
[28-1-2019 22:29:16] Amalie_DK reached 29 CPS, VL=2
[28-1-2019 22:29:18] Amalie_DK reached 37 CPS, VL=1
[28-1-2019 22:29:19] Amalie_DK reached 31 CPS, VL=2
[28-1-2019 22:29:21] Amalie_DK reached 26 CPS, VL=1
[28-1-2019 22:49:07] YouCanHitMee reached 25 CPS, VL=1
[28-1-2019 22:49:07] Amalie_DK reached 18 CPS, VL=1
[28-1-2019 22:54:08] Amalie_DK reached 18 CPS, VL=1
[28-1-2019 22:58:05] YouCanHitMee reached 18 CPS, VL=1
[28-1-2019 23:03:25] YouCanHitMee reached 18 CPS, VL=1
