[3-2-2019 15:39:39] Emilmeedom reached 23 CPS, VL=1
[3-2-2019 15:39:39] Anon1337 reached 19 CPS, VL=1
[3-2-2019 15:43:12] Emilmeedom reached 22 CPS, VL=1
[3-2-2019 16:04:54] Hackerman07_xD reached 31 CPS, VL=1
[3-2-2019 16:09:59] Anon1337 reached 21 CPS, VL=1
[3-2-2019 16:15:00] Anon1337 reached 22 CPS, VL=1
[3-2-2019 17:08:35] MizziHunter reached 20 CPS, VL=1
[3-2-2019 17:15:43] razergamer112 reached 20 CPS, VL=1
[3-2-2019 17:20:20] Hackerman07_xD reached 20 CPS, VL=1
[3-2-2019 17:25:58] razergamer112 reached 34 CPS, VL=1
[3-2-2019 18:11:36] HjaxGaming reached 18 CPS, VL=1
[3-2-2019 21:08:10] SuperSofia_DK reached 24 CPS, VL=1
