[30-1-2019 16:13:01] soniiii reached 20 CPS, VL=1
[30-1-2019 16:13:05] Play7o0 reached 26 CPS, VL=1
[30-1-2019 16:13:05] soniiii reached 22 CPS, VL=2
[30-1-2019 16:29:26] razergamer112 reached 20 CPS, VL=1
[30-1-2019 16:29:26] Tobi2006Rex reached 30 CPS, VL=1
[30-1-2019 17:24:32] 20dkk reached 20 CPS, VL=1
[30-1-2019 17:24:34] 20dkk reached 21 CPS, VL=2
[30-1-2019 17:24:35] 20dkk reached 20 CPS, VL=3
[30-1-2019 17:24:36] 20dkk reached 21 CPS, VL=4
[30-1-2019 18:07:59] Theodor_GamerYT reached 36 CPS, VL=1
[30-1-2019 18:16:53] Theodor_GamerYT reached 27 CPS, VL=1
[30-1-2019 18:25:22] Emilmeedom reached 18 CPS, VL=1
