[6-2-2019 19:42:50] UH4v3Sm4llPeen reached 19 CPS, VL=1
[6-2-2019 20:28:44] Play7o0 reached 23 CPS, VL=1
[6-2-2019 20:29:31] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:29:41] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:29:43] Play7o0 reached 23 CPS, VL=1
[6-2-2019 20:29:49] Play7o0 reached 21 CPS, VL=1
[6-2-2019 20:30:12] Play7o0 reached 24 CPS, VL=1
[6-2-2019 20:30:51] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:30:54] Play7o0 reached 18 CPS, VL=1
[6-2-2019 20:30:59] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:31:00] Play7o0 reached 19 CPS, VL=2
[6-2-2019 20:31:01] Play7o0 reached 21 CPS, VL=3
[6-2-2019 20:31:27] Play7o0 reached 22 CPS, VL=1
[6-2-2019 20:31:35] Play7o0 reached 28 CPS, VL=1
[6-2-2019 20:31:36] Play7o0 reached 21 CPS, VL=1
[6-2-2019 20:31:38] Play7o0 reached 21 CPS, VL=1
[6-2-2019 20:31:39] Play7o0 reached 18 CPS, VL=2
[6-2-2019 20:31:40] Play7o0 reached 19 CPS, VL=3
[6-2-2019 20:31:41] Play7o0 reached 22 CPS, VL=4
[6-2-2019 20:31:42] Play7o0 reached 22 CPS, VL=1
[6-2-2019 20:31:43] Play7o0 reached 20 CPS, VL=2
[6-2-2019 20:31:46] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:31:49] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:31:50] Play7o0 reached 21 CPS, VL=2
[6-2-2019 20:32:05] Play7o0 reached 26 CPS, VL=1
[6-2-2019 20:32:07] Play7o0 reached 21 CPS, VL=1
[6-2-2019 20:32:41] Play7o0 reached 18 CPS, VL=1
[6-2-2019 20:34:08] Play7o0 reached 18 CPS, VL=1
[6-2-2019 20:34:17] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:34:18] Play7o0 reached 21 CPS, VL=2
[6-2-2019 20:34:19] Play7o0 reached 21 CPS, VL=3
[6-2-2019 20:34:21] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:34:22] Play7o0 reached 20 CPS, VL=2
[6-2-2019 20:34:23] Play7o0 reached 19 CPS, VL=3
[6-2-2019 20:34:43] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:34:44] Play7o0 reached 22 CPS, VL=2
[6-2-2019 20:34:45] Play7o0 reached 18 CPS, VL=3
[6-2-2019 20:34:48] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:34:49] Play7o0 reached 19 CPS, VL=2
[6-2-2019 20:34:51] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:35:29] Play7o0 reached 19 CPS, VL=1
[6-2-2019 20:35:30] Play7o0 reached 21 CPS, VL=2
[6-2-2019 20:35:31] Play7o0 reached 18 CPS, VL=3
[6-2-2019 20:35:45] Play7o0 reached 18 CPS, VL=1
[6-2-2019 20:36:22] Play7o0 reached 22 CPS, VL=1
[6-2-2019 20:36:39] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:38:09] Play7o0 reached 20 CPS, VL=1
[6-2-2019 20:38:12] Play7o0 reached 18 CPS, VL=1
[6-2-2019 20:38:13] Play7o0 reached 20 CPS, VL=2
[6-2-2019 21:39:22] UH4v3Sm4llPeen reached 19 CPS, VL=1
[6-2-2019 21:58:00] ebbesendk reached 19 CPS, VL=1
